timestamp,scenario,intersection_id,direction,density,queue,avg_speed,flow,capacity,phase
420.0,normal,C,E,0.08,0.0,11.77,14.0,50.0,2.0
420.0,normal,C,W,0.08,0.0,11.54,14.0,50.0,2.0
425.0,normal,C,N,0.1,2.0,6.53,6.0,50.0,2.0
425.0,normal,C,S,0.08,2.0,7.01,6.0,50.0,2.0
425.0,normal,C,E,0.06,0.0,13.16,18.0,50.0,2.0
425.0,normal,C,W,0.06,0.0,12.97,18.0,50.0,2.0
430.0,normal,C,N,0.12,3.0,5.5,4.0,50.0,2.0
430.0,normal,C,S,0.1,3.0,5.01,2.0,50.0,2.0
430.0,normal,C,E,0.04,0.0,12.55,20.0,50.0,2.0
430.0,normal,C,W,0.06,0.0,12.61,20.0,50.0,2.0
435.0,normal,C,N,0.12,3.0,4.74,2.0,50.0,2.0
435.0,normal,C,S,0.1,4.0,2.76,2.0,50.0,2.0
435.0,normal,C,E,0.04,0.0,12.5,22.0,50.0,2.0
435.0,normal,C,W,0.06,0.0,11.86,22.0,50.0,2.0
440.0,normal,C,N,0.14,5.0,2.31,0.0,50.0,2.0
440.0,normal,C,S,0.14,4.0,3.36,0.0,50.0,2.0
440.0,normal,C,E,0.04,0.0,11.88,22.0,50.0,2.0
440.0,normal,C,W,0.04,0.0,10.63,24.0,50.0,2.0
445.0,normal,C,N,0.16,5.0,2.75,0.0,50.0,2.0
445.0,normal,C,S,0.16,5.0,4.31,0.0,50.0,2.0
445.0,normal,C,E,0.04,0.0,13.66,20.0,50.0,2.0
445.0,normal,C,W,0.04,0.0,12.55,22.0,50.0,2.0
450.0,normal,C,N,0.18,6.0,3.26,0.0,50.0,3.0
450.0,normal,C,S,0.18,5.0,4.6,0.0,50.0,3.0
450.0,normal,C,E,0.04,0.0,13.41,18.0,50.0,3.0
450.0,normal,C,W,0.06,0.0,11.57,18.0,50.0,3.0
455.0,normal,C,N,0.14,1.0,4.11,4.0,50.0,0.0
455.0,normal,C,S,0.16,3.0,4.78,4.0,50.0,0.0
455.0,normal,C,E,0.04,0.0,10.97,12.0,50.0,0.0
455.0,normal,C,W,0.08,0.0,6.37,12.0,50.0,0.0
460.0,normal,C,N,0.14,0.0,5.38,8.0,50.0,0.0
460.0,normal,C,S,0.12,0.0,6.17,8.0,50.0,0.0
460.0,normal,C,E,0.06,1.0,7.44,8.0,50.0,0.0
460.0,normal,C,W,0.08,2.0,7.2,8.0,50.0,0.0
465.0,normal,C,N,0.1,0.0,10.43,14.0,50.0,0.0
465.0,normal,C,S,0.1,0.0,10.85,14.0,50.0,0.0
465.0,normal,C,E,0.1,1.0,8.57,6.0,50.0,0.0
465.0,normal,C,W,0.1,3.0,5.3,6.0,50.0,0.0
470.0,normal,C,N,0.06,0.0,13.61,18.0,50.0,0.0
470.0,normal,C,S,0.06,0.0,11.62,18.0,50.0,0.0
470.0,normal,C,E,0.1,2.0,7.7,4.0,50.0,0.0
470.0,normal,C,W,0.12,4.0,2.9,4.0,50.0,0.0
475.0,normal,C,N,0.06,0.0,11.74,20.0,50.0,0.0
475.0,normal,C,S,0.06,0.0,12.02,20.0,50.0,0.0
475.0,normal,C,E,0.12,3.0,5.09,4.0,50.0,0.0
475.0,normal,C,W,0.12,4.0,3.88,2.0,50.0,0.0
480.0,normal,C,N,0.02,0.0,12.65,24.0,50.0,0.0
480.0,normal,C,S,0.06,0.0,11.85,22.0,50.0,0.0
480.0,normal,C,E,0.12,5.0,2.38,2.0,50.0,0.0
480.0,normal,C,W,0.14,5.0,3.04,0.0,50.0,0.0
485.0,normal,C,N,0.04,0.0,12.18,24.0,50.0,0.0
485.0,normal,C,S,0.04,0.0,11.07,24.0,50.0,0.0
485.0,normal,C,E,0.14,5.0,2.49,0.0,50.0,0.0
485.0,normal,C,W,0.16,6.0,2.11,0.0,50.0,0.0
490.0,normal,C,N,0.04,0.0,12.95,22.0,50.0,0.0
